title_EN,title_FR,image-front,image-back,toggle,name,caption_EN,caption_FR
Photo Album,Album Photo,/assets/images/christophe/album/1914esthernordmann.png,,,1914 Esther,,
,,/assets/images/christophe/album/1930mariagedanieletsuzanne_1.png,,,1930 Mariage Daniel et Suzanne,1930 - Marcelle and Robert at the wedding of Daniel Christophe and Suzanne Bernheim.,1930 - Marcelle et Robert au mariage de Daniel Christophe et Suzanne Bernheim.
,,/assets/images/christophe/album/1930mariagedanieletsuzanne_2.png,,,1930 Mariage Daniel et Suzanne,,
,,/assets/images/christophe/album/1930mariagedanieletsuzanne.png,,,1930 Mariage Daniel et Suzanne,1930 - Wedding of Marcelle and Robert,1930 - Mariage de Marcelle et Robert
,,/assets/images/christophe/album/1931estheretedmond.png,,,1931 Esther et Edmond ,1931 - Esther and Edmond Nordmann.  Francine's maternal grand-parents. Paris Colonial Exposition.,1931 - Esther et Edmond Nordmann. Grands-parents maternels de Francine. Exposition Coloniale Internationale. 
,,/assets/images/christophe/album/1931estheretmarcelle.png,,,1931 Marcelle et Esther,1931 - Marcelle and Esther at the Paris Colonial Exposition.,1931 - Marcelle et Esther à l'Exposition Coloniale Internationale. 
,,/assets/images/christophe/album/1931marcelleparrobert.jpg,,,1931 Marcelle par Robert,1931 - Marcelle by Robert,1931 - Marcelle par Robert
,,/assets/images/christophe/album/1931ninachristophe.png,,,1931 Nina Christophe,1931 - Nina Christophe. Francine's paternal grand-mother.,1931 - Nina Christophe. Grand-mère paternelle de Francine.
,,/assets/images/christophe/album/1931ninaetmarcelle .png,,,1931 Marcelle et Nina,1931 - Marcelle and Nina,1931 - Marcelle et Nina
,,/assets/images/christophe/album/1931ninaetrobert.png,,,1931 Nina et Robert,1931 - Nina and her son Robert,"1931 - Nina et son fils, Robert"
,,/assets/images/christophe/album/1932lunapark.png,,,1932 Luna Park,1932 - Marcelle and Robert at the Luna Park,1932 - Marcelle et Robert au Luna Park
,,/assets/images/christophe/album/1933francinenaissance.jpg,,,1933 Francine Naissance,1933 - Birth of Francine on Georges Berger street,1933 - Naissance de Francine rue Georges Berger
,,/assets/images/christophe/album/1933francinepremieresortie.png,,,1933 Francine premiere sortie,1933 - Francine's first outing,1933 - Première sortie de Francine
,,/assets/images/christophe/album/1934francineetrobert.jpg,/assets/images/christophe/album/1934francineetrobert_back.jpg,yes,1934 Francine et Robert,1934 - Francine in her father's arms,1934 - Francine dans les bras de son père
,,/assets/images/christophe/album/1934wimereuxfrancine.jpg,,,1934 Wimereux Francine,1934 - Family vacations in Wimereux,1934 - Vacances en famille à Wimereux
,,/assets/images/christophe/album/1934wimereux.jpg,,,1934 Wimereux,1934 - Family vacations in Wimereux,1934 - Vacances en famille à Wimereux
,,/assets/images/christophe/album/1935beauchamps1.png,,,1935 Beauchamps,1935 - Family vacation in La Ferté Saint-Bernard,1935 - Vacances en famille à la Ferté Saint-Bernard
,,/assets/images/christophe/album/1935beauchamps2.png,,,1935 Beauchamps,1935 - Family vacation in La Ferté Saint-Bernard,1935 - Vacances en famille à la Ferté Saint-Bernard
,,/assets/images/christophe/album/1935cousines.png,,,1935 Cousines,"1935 - Francine and her cousins, Ginette and Marianne, daughters of Daniel Christophe's.","1935 - Francine et ses cousines, Ginette et Marianne, filles de Daniel Christophe."
,,/assets/images/christophe/album/1937francineetmarcelle.png,,,1937 Marcelle et Francine,1937 - Francine and her mother,1937 - Francine et sa mère
,,/assets/images/christophe/album/1937francineetrobert.png,,,1937 Francine et Robert,1938 - Francine and her father,1937 - Francine et son père
,,/assets/images/christophe/album/1938edmondnordmann.png,,,1938 Edmond Nordman,1938 - Edmond Nordmann ,1938 - Edmond Nordmann
,,/assets/images/christophe/album/1938estheredmondfrancine.png,,,1938 Esther Edmond Francine,1938 - Francine and her maternal grand-parents,1938 - Francine et ses grands-parents maternels
,,/assets/images/christophe/album/1938ruecardinet.png,,,1938 rue Cardinet,1938 - Francine in her bedroom on Cardinet street,1938 - Chambre de Francine rue Cardinet
,,/assets/images/christophe/album/1938francinechambre.png,,,1938 Francine Chambre,,
,,/assets/images/christophe/album/1938francinelit.png,,,1938 Francine lit,,
,,/assets/images/christophe/album/1938francinedeuil.png,,,1938 Francine Deuil,1938 - Francine in mourning dress in memory of her grand-father Edmond.,1938 - Francine en habit de deuil pour la mort de son grand-père Edmond. 
,,/assets/images/christophe/album/1939danielsuzanneninacharles.png,,,1939 Daniel Suzanne Nina Charles,1939 - Daniel and Suzanne Christophe with Nina Christophe and Charles Streiff in Nice,1939 - Daniel et Suzanne Christophe avec Nina Christophe et Charles Streiff à Nice.
,,/assets/images/christophe/album/1939mobilisation.png,,,1939 Mobilisation,1939 - Robert in uniform,1939 - Robert mobilisé
,,/assets/images/christophe/album/1939francineetmarcellenice.png,,,1939 Francine et Marcelle Nice,1939 - Francine and her mother in Nice,"1939 - Francine et sa mère à Nice. «Nous nous promenons sur la Promenade des Anglais. Maman est très belle, Papa magnifique avec son képi à deux galons, et je ne me trouve pas mal non plus avec mon manteau gris de chez «Mirkey», rue St Honoré, magasin que ma grand-mère a fondé. Comme les soldats, je porte un petit calot sur la tête, gris comme mon manteau. »(Une petite fille privilégiée, p.10)"
,,/assets/images/christophe/album/1939francineetmarcelle.png,,,1939 Francine et Marcelle,1939 - Francine and her mother in Monte-Carlo,1939 - Francine et sa mère à Monte-Carlo
,,/assets/images/christophe/album/1939permissionnice.png,,,1939 Permission Nice,1939 - Robert's leave in Nice,1939 - Robert en permission à Nice
,,/assets/images/christophe/album/1939rentreenice.png,,,1939 Rentree Nice,1939 - First day of school in Nice,1939 - Rentrée des classes à Nice	
,,/assets/images/christophe/album/1939robertetfrancinenice.png,,,1939 Robert et Francine Nice,1939 - Francine and her father in Nice,1939 - Francine et son père à Nice
